当前股票 603380 股票名字 易德龙 评级为: B  .............. i =298 , i的余数为 0
当前股票 600770 股票名字 综艺股份 评级为: B  .............. i =299 , i的余数为 1
当前股票 600887 股票名字 伊利股份 评级为: A+ .............. i =300 , i的余数为 0
当前股票 000792 股票名字 盐湖股份 评级为: C  .............. i =301 , i的余数为 1
当前股票 601020 股票名字 华钰矿业 评级为: A  .............. i =302 , i的余数为 0
当前股票 000410 股票名字 沈阳机床 评级为: B- .............. i =303 , i的余数为 1
当前股票 600516 股票名字 方大炭素 评级为: A  .............. i =304 , i的余数为 0
当前股票 601519 股票名字 *ST智慧 评级为: C+ .............. i =305 , i的余数为 1
当前股票 002913 股票名字 奥士康 评级为: A  .............. i =306 , i的余数为 0
当前股票 002877 股票名字 智能自控 评级为: B+ .............. i =307 , i的余数为 1
当前股票 600425 股票名字 *ST青松 评级为: B- .............. i =308 , i的余数为 0
当前股票 000657 股票名字 中钨高新 评级为: B+ .............. i =309 , i的余数为 1
当前股票 002362 股票名字 汉王科技 评级为: B  .............. i =310 , i的余数为 0
当前股票 600362 股票名字 江西铜业 评级为: A  .............. i =311 , i的余数为 1
当前股票 600338 股票名字 西藏珠峰 评级为: A+ .............. i =312 , i的余数为 0
当前股票 300460 股票名字 惠伦晶体 评级为: B  .............. i =313 , i的余数为 1
当前股票 002513 股票名字 蓝丰生化 评级为: B  .............. i =314 , i的余数为 0
当前股票 002341 股票名字 新纶科技 评级为: A  .............. i =315 , i的余数为 1
当前股票 600980 股票名字 北矿科技 评级为: B  .............. i =316 , i的余数为 0
当前股票 600961 股票名字 株冶集团 评级为: C- .............. i =317 , i的余数为 1
当前股票 002501 股票名字 利源精制 评级为: B+ .............. i =318 , i的余数为 0
当前股票 600523 股票名字 贵航股份 评级为: A  .............. i =319 , i的余数为 1
当前股票 002114 股票名字 罗平锌电 评级为: B  .............. i =320 , i的余数为 0
当前股票 300293 股票名字 蓝英装备 评级为: B- .............. i =321 , i的余数为 1
当前股票 600160 股票名字 巨化股份 评级为: A- .............. i =322 , i的余数为 0
当前股票 600754 股票名字 锦江股份 评级为: A+ .............. i =323 , i的余数为 1
当前股票 002808 股票名字 苏州恒久 评级为: B  .............. i =324 , i的余数为 0
当前股票 002027 股票名字 分众传媒 评级为: A+ .............. i =325 , i的余数为 1
当前股票 300347 股票名字 泰格医药 评级为: A+ .............. i =326 , i的余数为 0
当前股票 600803 股票名字 新奥股份 评级为: A+ .............. i =327 , i的余数为 1
当前股票 002282 股票名字 博深工具 评级为: B- .............. i =328 , i的余数为 0
当前股票 000622 股票名字 恒立实业 评级为: C- .............. i =329 , i的余数为 1
当前股票 002676 股票名字 顺威股份 评级为: C+ .............. i =330 , i的余数为 0
当前股票 603936 股票名字 博敏电子 评级为: B+ .............. i =331 , i的余数为 1
当前股票 601877 股票名字 正泰电器 评级为: A+ .............. i =332 , i的余数为 0
当前股票 002402 股票名字 和而泰 评级为: B+ .............. i =333 , i的余数为 1
当前股票 600833 股票名字 第一医药 评级为: B  .............. i =334 , i的余数为 0
当前股票 600808 股票名字 马钢股份 评级为: B+ .............. i =335 , i的余数为 1
当前股票 600139 股票名字 西部资源 评级为: C- .............. i =336 , i的余数为 0
当前股票 002180 股票名字 纳思达 评级为: C+ .............. i =337 , i的余数为 1
当前股票 002545 股票名字 东方铁塔 评级为: C+ .............. i =338 , i的余数为 0
当前股票 600501 股票名字 航天晨光 评级为: B- .............. i =339 , i的余数为 1
